# experiment P-76 (R-076)
# hypothesis: TRIPLANAR AND STOCHASTIC FILTERING COMPOSE MULTIPLICATIVELY AND NOBODY STATES THE PRODUCT. Three planes x three stochastic taps is nine fetches per map; bevy_isomesh/examples/triplanar.wgsl already pays the three. Stochastic Texture Filtering (arXiv 2305.05810) and Heitz-Neyret histogram-preserving blending (10.1145/3233304, 'over 20x faster' than procedural-noise state of the art, HARDWARE NOT NAMED) both trade fetches for temporal accumulation. The conflict is the finding worth registering: A DESTRUCTIBLE WORLD HAS ALREADY SPENT ITS TEMPORAL BUDGET, because geometry that changes rejects history. This registration is gated on P-77, which measures that rejection; running it first would price the saving without pricing the debt. (C1) Selecting one triplanar plane per pixel stochastically drops the fetch count by exactly 3x and the fragment cost by at least 2x at 1920x1080. (C2) With TAA resolving the stochastic choice, the ghosting cost under an active dig is WORSE than the fetch saving is worth: measured as mean absolute error against a 3-plane reference in the 8 frames following an edit, above the error of the same scene with no digging. (C3) Biplanar mapping -- two planes, no stochastic term, no temporal debt -- gets at least half the saving of C1 with none of C2's cost. SHARE: C1 moves the material shading stage, which P-75's C2 will have measured.
# falsified by: C1 by under 2x. C2 by no difference between digging and static, which would mean history rejection is not the bottleneck and stochastic filtering is free here after all. C3 by under half, which makes the honest recommendation 'keep three planes'. VACUITY CONTROL: the dig arm must produce a non-zero history-rejection count from P-77's instrument, or C2 cannot fire.
# commit b3f11a2 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-28T00:34:20Z
arm,fetches_per_fragment,fragment_ms,frame_ms,history_rejected_static,history_rejected_digging,mae_vs_reference_static,mae_vs_reference_digging,frames_after_edit,biplanar_fetches,biplanar_fragment_ms,c1_holds,c2_holds,c3_holds,alu_control_ms,bilinear_minus_point_ns_per_texel,biplanar_temporal_delta_mae,c1_cost_ratio,c1_cost_ratio_min_based,c1_cost_reachable_6s_ge_f,c1_fetch_ratio_is_exactly_3,c3_saving_ratio_fetches,c3_saving_ratio_ms,c3_saving_ratio_ms_min_based,cpu_mhz_end,cpu_mhz_start,estimator_bias_tolerance,estimator_mean_signed_error_sampled,estimator_worst_fragment_error_sampled,fetch_call_ns_measured,fetch_calls_per_fragment,fetches_tallied,filter,fit_intercept_ms,fit_predicted_ratio_18_over_6,fit_r2,fit_six_fetch_cost_ms,fit_slope_ms_per_fetch,fit_slope_ns_per_fetch,forced_layer,fragment_ns_per_fragment,frame_changed_pixels,frame_mae,frame_mean_clip_s,frame_mean_reproj_px,frame_no_history,frame_offset,frame_population,frame_rejected,frame_rejection_fraction,mae_biplanar_digging,mae_biplanar_excess_digging,mae_biplanar_excess_static,mae_biplanar_static,mae_ideal_biplanar,mae_ideal_reference,mae_ideal_stochastic,mae_sampling_excess_digging,mae_sampling_excess_ratio_dig_over_static,mae_sampling_excess_static,mae_taa_floor_digging,mae_taa_floor_static,mean_b,mean_g,mean_r,ns_per_fetch_over_alu_control,planes,rejection_fraction_digging,rejection_fraction_static,reps_ms_min,reps_ms_spread,scored_arm,screen_pixels,shade_reps,shading_bias_mean_signed,shading_bias_worst_fragment,stage,stf_3tap_fetches,stochastic_plane_fetches,stochastic_plane_fragment_ms,stochastic_temporal_delta_mae,strata,stream,taa_arm,taa_brushes_placed,taa_height,taa_warmup_frames,taa_width,tally_ns_bound_per_fetch,taps,texels_per_fragment,threads,triplanar_fetches,triplanar_fragment_ms,visible_fragments,world,zero_proof_rejected,zero_proof_stochastic_rejected
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_1,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4993,0.00377278,0.694176,0.4951,1582,1,516748,13651,0.02641713,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_2,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4996,0.00378479,0.706436,0.6203,1604,2,516735,13595,0.02630942,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_3,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4997,0.00378087,0.711392,0.4951,1585,3,516749,13487,0.02609971,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_4,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5001,0.00380200,0.703974,0.8688,1587,4,516739,14303,0.02767935,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_5,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5002,0.00381133,0.696846,0.6203,1607,5,516727,14057,0.02720392,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_6,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4994,0.00363810,0.693435,0.2429,1590,6,516740,10589,0.02049193,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/stochastic_1plane/frame_plus_7,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5001,0.00371858,0.694863,0.4951,1599,7,516735,12901,0.02496638,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/window,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,NA,0.00383510,0.723300,0.5979,12762,NA,4133904,66505,0.01608770,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_0,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4998,0.00383291,0.724435,0.9458,1608,0,516731,8221,0.01590963,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_1,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4993,0.00384918,0.713807,0.4951,1582,1,516748,8581,0.01660577,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_2,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4996,0.00385937,0.726777,0.6203,1604,2,516735,8758,0.01694873,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_3,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4997,0.00385634,0.733997,0.4951,1585,3,516749,8440,0.01633288,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_4,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5001,0.00388078,0.726316,0.8688,1587,4,516739,8967,0.01735305,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_5,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5002,0.00388892,0.714949,0.6203,1607,5,516727,9291,0.01798048,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_6,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4994,0.00371647,0.733956,0.2429,1590,6,516740,6096,0.01179704,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/static/biplanar_2plane/frame_plus_7,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5001,0.00379682,0.715564,0.4951,1599,7,516735,8151,0.01577404,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,biplanar_2plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
taa/dig_at_feet_static/digging/reference_3plane/window,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,NA,0.00374159,0.675701,0.5979,12762,NA,4133904,74793,0.01809258,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_0,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4998,0.00376269,0.485137,0.9458,1608,0,516731,12777,0.02472660,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_1,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4993,0.00376805,0.707986,0.4951,1582,1,516748,9883,0.01912538,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_2,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4996,0.00377049,0.717028,0.6203,1604,2,516735,9607,0.01859173,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_3,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4997,0.00376142,0.724469,0.4951,1585,3,516749,8976,0.01737014,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_4,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5001,0.00378569,0.717995,0.8688,1587,4,516739,9310,0.01801683,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_5,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5002,0.00379018,0.710290,0.6203,1607,5,516727,9497,0.01837914,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_6,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4994,0.00360523,0.721944,0.2429,1590,6,516740,6406,0.01239695,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/reference_3plane/frame_plus_7,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,5001,0.00368898,0.707185,0.4951,1599,7,516735,8337,0.01613400,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/stochastic_1plane/window,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,NA,0.00393754,0.669707,0.5979,12762,NA,4133904,114924,0.02780036,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/stochastic_1plane/frame_plus_0,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4998,0.00402413,0.548573,0.9458,1608,0,516731,17648,0.03415317,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
taa/dig_at_feet_static/digging/stochastic_1plane/frame_plus_1,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,4993,0.00398530,0.682518,0.4951,1582,1,516748,15148,0.02931410,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,stochastic_1plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,digging,0,23248
